message,label
Ahmet sabah okula rezervasyon yaptırmış.,normal
Milli Piyango sana çıkmadı ama bizde kazanabilirsin! %100 Hoşgeldin bonusu.,spam
Deneme bonusu hesabına tanımlandı. Çevrim şartsız çekim yapabilirsin.,spam
Yönetici yarın maça gelmeyecekmiş.,normal
Ahmet sabah kafeye mesaj attı.,normal
İngilizce öğrenmek hiç bu kadar kolay olmamıştı. Online kursa katıl.,spam
"Aidat gecikmiş, faiz binmesin.",normal
Babam yarın parka gidecekmiş.,normal
Mehmet bugün hastaneye haber verdi.,normal
Ayşe hafta sonu eve rezervasyon yaptırmış.,normal
Bankamatik kartınız kopyalanmış olabilir. Şifrenizi değiştirmek için tıklayın.,spam
Vize başvurusu için evraklar hazır.,normal
"Akşama misafir var, evi toparlayalım.",normal
Babam birazdan tatile haber verdi.,normal
Kurye hafta sonu tatile iptal etmiş.,normal
İnsan kaynakları formu imzalamanı bekliyor.,normal
WhatsApp hesabınız başka bir cihazda açıldı. Siz değilseniz tıklayın.,spam
Kurye haftaya maça telefon etti.,normal
Apartman aidatını ödedin mi?,normal
"Kaçak iddaa değil, lisanslı bahis! Güvenilir adresimiz güncellendi.",spam
Ahmet yarın toplantıya bizi bekliyor.,normal
Akbank Direkt şifrenizle hatalı giriş yapıldı. Güvenliğiniz için tıklayın.,spam
"Yapay zeka robotu sizin yerinize işlem yapsın, siz uyurken kazanın.",spam
Eşyaları topladık sayılır.,normal
WhatsApp hesabınız başka bir cihazda açıldı. Siz değilseniz tıklayın.,spam
Elon Musk'ın yeni projesi! 1 yatır 100 kazan.,spam
Elon Musk'ın yeni projesi! 1 yatır 100 kazan.,spam
Garanti BBVA mobil şifreniz bloke oldu. Açmak için tıklayınız.,spam
Müdür bugün okula gidecekmiş.,normal
Bahis severler buraya! En yüksek oranlar sadece bizde.,spam
"Kaçak iddaa değil, lisanslı bahis! Güvenilir adresimiz güncellendi.",spam
Kredi kartı yıllık aidat iadeniz hesabınıza yansıtılmamıştır. İade için tıklayın.,spam
Annem öğleden sonra kafeye mesaj attı.,normal
Kardeşim pazartesi günü tatile mail atmış.,normal
Bel ve boyun ağrılarınızdan kurtulun. Manyetik korse.,spam
Hoca hafta sonu eve gelmeyecekmiş.,normal
Müdür bu gece okula haber verdi.,normal
Kurye yarın tatile iptal etmiş.,normal
"Evi süpürdüm, sildim.",normal
Kardeşim haftaya okula erken gelecek.,normal
Forex piyasasında kaldıraçlı işlem sinyalleri.,spam
Instagram hesabınız çalınmaya çalışıldı. Şifrenizi değiştirmek için tıklayın.,spam
"Bahis sitemize üye olun, 500 TL hoşgeldin bonusu kazanın!",spam
TikTok jeton hilesi için tıkla.,spam
FAST işleminiz askıda kaldı. Tamamlamak için tıklayınız.,spam
"Amazon hisselerine yatırım yapın, dolar kazanın.",spam
Saç ekiminde şok fiyat! İstanbul'un en iyi kliniğinde saçlarına kavuş.,spam
Kilo vermek isteyenler buraya! 1 ayda 10 kilo garanti.,spam
Kredi kartı limitiniz 100.000 TL'ye yükseltildi. Onaylamak için EVET yazın.,spam
Elektrik faturası bu ay çok gelmiş.,normal
Doktor birazdan kafeye erken gelecek.,normal
Acil! Hesabınız bloke edilmiştir. Bilgilerinizi güncellemek için tıklayın.,spam
Ayşe akşam eve gecikeceğini söyledi.,normal
Acil! Hesabınız bloke edilmiştir. Bilgilerinizi güncellemek için tıklayın.,spam
Hoca yarın kursuna iptal etmiş.,normal
Burs başvurunuz kabul edildi. IBAN gönderin.,spam
Müşteri hizmetlerine bağlanamıyorum.,normal
Babam bugün hastaneye mail atmış.,normal
Hakkınızda tazminat davası açılmıştır. Dava dosyasını görmek için tıklayın.,spam
Annemler bu hafta sonu bize gelecekmiş.,normal
Ayşe sabah sinemaya erken gelecek.,normal
Ayşe pazartesi günü maça gecikeceğini söyledi.,normal
